sebep,source_file,program_code,program_name,university,academic_year,metric,value
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,preference_top3,79.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,preference_total,299.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,placed_university_graduate,2.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,placed_university_student,1.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,placed,18.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,first_choice_placed,0.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,first_choice_placements,0.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,placed_male,47.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,placed_female,55.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,quota,102.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,placed_high_school,53.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,highest_score,386.83879
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,placed_graduate,46.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,base_score,289.01223
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,success_rank,488500.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,preference_first,63.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,preference_top9,382.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,preference_top3,150.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,preference_total,564.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,placed_university_graduate,0.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,placed_university_student,2.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,placed,102.0
